danceability (bin);key;track_id (song_features.csv);acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;mode;speechiness;tempo;valence
0.57;5;7wGoVu4Dady5GV0Sv4UIsx;0,13;0,577;218320;0,522;9,03e-05;0,142;-6,594;0;0,0984;159,772;0,119
0.75;7;0ofbQMrRDsUaVKq2mGLEAb;0,186;0,768;216897;0,517;3,8e-05;0,104;-4,323;0;0,0312;104,992;0,418
0.75;9;2ekn2ttSfGqwhhate0LSR0;0,00261;0,762;209320;0,7;1,56e-05;0,153;-6,021;0;0,0694;116,073;0,608
0.69;11;7EmGUiUaOSGDnUUQUDrOXC;0,139;0,715;197993;0,802;0;0,177;-4,647;0;0,0394;124,989;0,327
0.81;1;7qiZfU4dY1lWllzX7mPBI3;0,581;0,825;233713;0,652;0;0,0931;-3,183;0;0,0802;95,977;0,931
0.75;8;5UEnHoDYpsxlfzWLZIc7LD;0,17;0,757;221013;0,748;0;0,0759;-5,794;0;0,473;90,052;0,693
0.72;7;1zsG4eaZmkA1dvjDDsAGLK;0,0322;0,724;173720;0,895;0;0,097;-3,617;1;0,0411;96,022;0,64
0.78;5;3hBBKuWJfxlIlnd9QFoC8k;0,0786;0,795;199849;0,615;2,98e-06;0,0855;-5,211;0;0,0671;110,009;0,393
0.93;5;43ZyHQITOjhciSUUNPVRHc;0,239;0,936;124056;0,523;0;0,117;-6,71;1;0,0597;119,889;0,699
0.57;2;5k38wzpLb15YgncyWdTZE4;0,0534;0,589;268867;0,731;0;0,308;-6,343;1;0,0868;87,908;0,191
0.57;8;0tgVpDi06FyKpA1z0VMD4v;0,163;0,599;263400;0,448;0;0,106;-6,312;1;0,0232;95,05;0,168
0.69;2;5CtI0qwDJkDQGwXD1H1cLb;0,229;0,694;228827;0,815;0;0,0924;-4,328;1;0,12;88,931;0,813
0.63;5;6mrKP2jyIQmM0rw6fQryjr;0,33;0,659;212120;0,716;0;0,173;-5,673;0;0,111;148,015;0,437
0.84;4;4lESS6vuruP6a79KWRaQou;0,283;0,871;184067;0,768;2,25e-05;0,162;-5,401;0;0,122;98,989;0,765
0.51;4;7vGuf3Y35N4wmASOKLUVVU;0,256;0,52;180823;0,761;4,96e-06;0,17;-3,093;1;0,0853;141,971;0,286
0.81;2;6Za3190Sbw39BBC77WSS1C;0,03;0,814;232550;0,813;9,33e-05;0,255;-3,023;0;0,0561;79,997;0,839
0.69;5;1mXVgsBdtIVeCLJnSnmtdV;0,652;0,698;201000;0,375;0;0,173;-8,279;1;0,0491;91,92;0,534
0.78;1;5Z3GHaZ6ec9bsiI5BenrbY;0,199;0,798;202547;0,539;1,66e-05;0,165;-6,351;1;0,0421;136,949;0,394
0.54;11;2rb5MvYT7ZIxbKW5hfcHx8;0,0148;0,543;189440;0,677;6,21e-06;0,13;-4,915;0;0,0993;103,809;0,294
0.54;8;75ZvA4QfFiZvzhj2xkaWAh;0,0689;0,556;223347;0,538;0;0,196;-5,408;0;0,0382;143,95;0,291
0.81;1;2DQ1ITjI0YoLFzuADN1ZBW;0,0117;0,838;245387;0,771;0;0,0853;-3,791;1;0,244;175,957;0,405
0.57;8;1bhUWB0zJMIKr9yVPrkEuI;0,779;0,587;259550;0,299;0;0,123;-7,365;1;0,0263;94,992;0,356
0.78;1;6QgjcU0zLnzq5OrUoSZ3OK;0,0417;0,801;163253;0,795;0,000113;0,0717;-5,115;0;0,0504;79,028;0,754
